0.008,0.569
0.008,0.561
0.009,0.552
0.01,0.542
0.012,0.531
0.013,0.521
0.015,0.511
0.017,0.502
0.019,0.494
0.021,0.486
0.023,0.48
0.025,0.473
0.027,0.468
0.029,0.463
0.032,0.458
0.034,0.454
0.036,0.45
0.038,0.447
0.041,0.443
0.043,0.44
0.045,0.437
0.047,0.435
0.05,0.432
0.052,0.43
0.054,0.427
0.056,0.425
0.059,0.423
0.061,0.421
0.063,0.419
0.065,0.418
0.068,0.416
0.07,0.414
0.072,0.413
0.075,0.411
0.077,0.41
0.08,0.407
0.086,0.404
0.094,0.4
0.105,0.395
0.117,0.391
0.129,0.387
0.142,0.383
0.154,0.382
0.167,0.383
0.18,0.383
0.193,0.384
0.206,0.385
0.219,0.385
0.232,0.386
0.245,0.387
0.259,0.387
0.272,0.388
0.286,0.389
0.3,0.39
0.313,0.391
0.327,0.392
0.341,0.393
0.354,0.394
0.368,0.396
0.381,0.397
0.395,0.398
0.409,0.399
0.422,0.401
0.436,0.402
0.45,0.404
0.463,0.405
0.477,0.407
0.49,0.408
0.504,0.41
0.517,0.412
0.53,0.413
0.544,0.415
0.557,0.417
0.57,0.419
0.583,0.421
0.596,0.423
0.609,0.425
0.622,0.427
0.635,0.429
0.647,0.431
0.66,0.433
0.672,0.435
0.685,0.437
0.697,0.44
0.709,0.442
0.721,0.444
0.733,0.447
0.745,0.449
0.757,0.452
0.768,0.455
0.78,0.457
0.791,0.46
0.802,0.463
0.813,0.465
0.824,0.468
0.835,0.471
0.845,0.474
0.856,0.478
0.866,0.481
0.876,0.484
0.886,0.488
0.896,0.492
0.905,0.496
0.913,0.5
0.919,0.502
0.923,0.504
0.926,0.505
0.926,0.505
0.926,0.505
0.924,0.505
0.922,0.504
0.92,0.502